,Numero, TiempoPromedio, TiempoPromedio, PorcentajeExito
,,mean,std,mean
0,50,80.49520000000007,41.79509776701941,0.37535981662840656
1,100,78.64239999999995,40.80732973866827,0.3821150575209585
2,150,63.62693333333334,30.583294893562176,0.38194227786035134
3,200,69.06119999999993,33.9753324658948,0.3811174656679458
4,250,70.62584000000001,36.368006833793174,0.37733991337868805
5,300,85.97953333333345,46.384166099404396,0.37825309803807766
6,350,118.92011428571428,93.95216709072966,0.38170684747799855
7,400,123.68725000000005,82.76824682877057,0.3810128626208266
8,450,122.09386666666673,93.87151963415903,0.3804357895797276
9,500,172.4865600000001,247.60721060081184,0.37572896224180824
10,550,189.30858181818178,167.83621136463194,0.37928525812454633
11,600,213.52980000000025,203.27854959819993,0.38190867086942726
12,650,209.98981538461618,210.46775090806707,0.3799461312606613
13,700,167.50782857142804,192.08391896806853,0.381157277405074
14,750,217.5781066666674,283.96770258164275,0.3787485403339951
15,800,275.91497500000037,349.5985250924885,0.3802190824365286
16,850,291.0037647058816,375.0949607184326,0.3782069633182939
17,900,337.1275111111102,492.3452956658239,0.38069522447361637
18,950,310.21058947368465,427.11704541830494,0.38061466432981617
19,1000,360.67335999999887,492.0041674664872,0.380596109921594
